bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
Absorbed,32,256,NVIDIA A100-PCIE-40GB,0,0.004163769528818514,0.004173666005954146,0.0041564099956303835,0.004176866030320525
Absorbed,32,512,NVIDIA A100-PCIE-40GB,0,0.007755201438066456,0.0077626509591937065,0.007732918951660395,0.007771153934299946
Absorbed,32,1024,NVIDIA A100-PCIE-40GB,0,0.014946480441504895,0.01496118400245905,0.01490440801717341,0.014967746566981077
Absorbed,32,2048,NVIDIA A100-PCIE-40GB,0,0.02953397305271424,0.029577619396150112,0.029379956074990332,0.029632525343913585
Absorbed,32,4096,NVIDIA A100-PCIE-40GB,0,0.05884687462821603,0.05876435758545995,0.05852015322307125,0.059033424768131226
Absorbed_CacheCompressed,32,32,NVIDIA A100-PCIE-40GB,1179648,0.00084419473586604,0.00084419473586604,0.0008438258663518354,0.0008445636053802446
Absorbed_CacheCompressed,32,64,NVIDIA A100-PCIE-40GB,2359296,0.00123867661304151,0.0012349504907615482,0.00123439114773646,0.001236717589199543
Absorbed_CacheCompressed,32,128,NVIDIA A100-PCIE-40GB,4718592,0.0020455098538659515,0.0020382580487057567,0.0020339637203142047,0.002049535270780325
Absorbed_CacheCompressed,32,256,NVIDIA A100-PCIE-40GB,9437184,0.003672135100544741,0.003667038232088089,0.0036618020804598927,0.003679919686401263
Absorbed_CacheCompressed,32,512,NVIDIA A100-PCIE-40GB,18874368,0.00692745006061159,0.00692745006061159,0.006925407600938342,0.006929492520284839
Absorbed_CacheCompressed,32,1024,NVIDIA A100-PCIE-40GB,37748736,0.013358713639900089,0.01335338781354949,0.013348021847195923,0.013369126513134688
Absorbed_CacheCompressed,32,2048,NVIDIA A100-PCIE-40GB,75497472,0.026465031394036487,0.026438321045134217,0.026383525523124264,0.02651982691604644
Absorbed_CacheCompressed,32,4096,NVIDIA A100-PCIE-40GB,150994944,0.052497930137906226,0.05250092560891062,0.05242294422350824,0.05271454673493281
Absorbed_CacheCompressed,32,8192,NVIDIA A100-PCIE-40GB,301989888,0.09943472009617835,0.09943472009617835,0.09941605085041375,0.09945338934194296
Absorbed_CacheCompressed_MoveElision,32,32,NVIDIA A100-PCIE-40GB,1179648,0.0005583942158846184,0.0005583942158846184,0.0005428143654135055,0.0005739740663557313
Absorbed_CacheCompressed_MoveElision,32,64,NVIDIA A100-PCIE-40GB,2359296,0.0006119277573889122,0.0006119277573889122,0.0006117951516644098,0.0006120603631134144
Absorbed_CacheCompressed_MoveElision,32,128,NVIDIA A100-PCIE-40GB,4718592,0.000772212965413928,0.000772212965413928,0.0007721631376771256,0.0007722627931507304
Absorbed_CacheCompressed_MoveElision,32,256,NVIDIA A100-PCIE-40GB,9437184,0.0011097975082229824,0.0011095424403902144,0.0011095132504124194,0.0011096479260595516
Absorbed_CacheCompressed_MoveElision,32,512,NVIDIA A100-PCIE-40GB,18874368,0.0017679582489654423,0.0017675795103423296,0.001767467096215114,0.0017679230746580287
