bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
CacheDecompressed,1,1024,NVIDIA GeForce RTX 4080,83886080,0.0005803630594164133,0.0005803630594164133,0.0005802844711579382,0.0005804416476748883
CacheDecompressed,1,2048,NVIDIA GeForce RTX 4080,167772160,0.0007124759185826407,0.0007124759185826407,0.0007124250177876093,0.0007125268193776719
CacheDecompressed,1,4096,NVIDIA GeForce RTX 4080,335544320,0.0009772468265146017,0.0009767987090162932,0.0009767562057822943,0.0009771676955278963
CacheDecompressed,1,8192,NVIDIA GeForce RTX 4080,671088640,0.001503907650310014,0.001503103889990598,0.001502545045223087,0.0015038868598639965
CacheDecompressed,1,16384,NVIDIA GeForce RTX 4080,1342177280,0.0025644786504562945,0.002564008095068857,0.0025636851380113515,0.0025648016075138
CacheDecompressed,1,32768,NVIDIA GeForce RTX 4080,2684354560,0.004654585813016941,0.004653956720139831,0.004653734189923852,0.004655122889671475
CacheDecompressed,1,65536,NVIDIA GeForce RTX 4080,5368709120,0.00883783891564235,0.00883783891564235,0.008837313248077407,0.008838364583207295
CacheCompressed,1,32,NVIDIA GeForce RTX 4080,36864,0.0005177133029792458,0.0005177133029792458,0.0005176660510478541,0.0005177605549106374
CacheCompressed,1,64,NVIDIA GeForce RTX 4080,73728,0.0005214702639495955,0.0005214702639495955,0.0005214192639687099,0.0005215212639304809
CacheCompressed,1,128,NVIDIA GeForce RTX 4080,147456,0.0005308925990248098,0.0005308925990248098,0.0005308077940135263,0.0005309774040360935
CacheCompressed,1,256,NVIDIA GeForce RTX 4080,294912,0.000582281167502515,0.000582281167502515,0.0005822328013018706,0.0005823295337031595
CacheCompressed,1,512,NVIDIA GeForce RTX 4080,589824,0.0007086622579954565,0.0007086622579954565,0.0007085747829405591,0.0007087497330503538
CacheCompressed,1,1024,NVIDIA GeForce RTX 4080,1179648,0.0009656456445809454,0.0009656456445809454,0.0009655643018195406,0.0009657269873423501
CacheCompressed,1,2048,NVIDIA GeForce RTX 4080,2359296,0.0014639481280132067,0.0014619147288613022,0.0014616673497948795,0.001463097914820537
CacheCompressed,1,4096,NVIDIA GeForce RTX 4080,4718592,0.002420798844192177,0.0024212387809529902,0.00241979043930769,0.002421683110296726
CacheCompressed,1,8192,NVIDIA GeForce RTX 4080,9437184,0.004345526529165605,0.004344917088747025,0.004343464494450017,0.004347283843671904
CacheCompressed,1,16384,NVIDIA GeForce RTX 4080,18874368,0.008294038485305815,0.008279316406697036,0.008275042893365026,0.008287952886894346
CacheCompressed,1,32768,NVIDIA GeForce RTX 4080,37748736,0.015985977074264416,0.01598796572070569,0.01597403979394585,0.015995413158088924
CacheCompressed,1,65536,NVIDIA GeForce RTX 4080,75497472,0.031430115672992545,0.031430636590812355,0.031425441714236516,0.031435310549568385
CacheCompressed,1,131072,NVIDIA GeForce RTX 4080,150994944,0.06252917614765466,0.06252917614765466,0.06252577921841293,0.06253257307689637
Baseline,1,32,NVIDIA A100-PCIE-40GB,0,0.0006014326065375514,0.0006010360084474087,0.0005730849225074053,0.0006075380370020866
Baseline,1,64,NVIDIA A100-PCIE-40GB,0,0.0005875019779340246,0.0005799250211566687,0.0005769325653091073,0.0006065034540370107
Baseline,1,128,NVIDIA A100-PCIE-40GB,0,0.0005810828888945754,0.0005676529835909605,0.0005641889292746782,0.0005738870240747929
Baseline,1,256,NVIDIA A100-PCIE-40GB,0,0.0005818449704105456,0.0005673081614077091,0.0005632294341921806,0.0005905375583097339
Baseline,1,512,NVIDIA A100-PCIE-40GB,0,0.0006074477153935972,0.0005848179571330547,0.0005835685878992081,0.0005872390465810895
Baseline,1,1024,NVIDIA A100-PCIE-40GB,0,0.0008104050039906942,0.0007323609897866845,0.0007303003803826869,0.0007809163653291762
Baseline,1,2048,NVIDIA A100-PCIE-40GB,0,0.0010627621404260524,0.0010108831338584423,0.0010088849812746048,0.0010795930866152048
Baseline,1,4096,NVIDIA A100-PCIE-40GB,0,0.0016896879002357506,0.0016352544771507382,0.0016191470785997808,0.0016419320018030703
Baseline,1,8192,NVIDIA A100-PCIE-40GB,0,0.0029616055268926558,0.00286334240809083,0.002850316755939275,0.002888613089453429
Baseline,1,16384,NVIDIA A100-PCIE-40GB,0,0.005602252102514219,0.00530511699616909,0.0052592899883165956,0.00531244941521436
Baseline,1,32768,NVIDIA A100-PCIE-40GB,0,0.01062034764082024,0.010127549059689045,0.010021472000516951,0.011129478923976421
Baseline,1,65536,NVIDIA A100-PCIE-40GB,0,0.020925876752395805,0.020218555466271937,0.019845174625515938,0.0202390790800564
Baseline,1,131072,NVIDIA A100-PCIE-40GB,0,0.04050237732939422,0.04022425599396229,0.03997259400784969,0.0403562372084707
CacheDecompressed,1,32,NVIDIA A100-PCIE-40GB,2621440,0.00031582871527643876,0.0003158219965407625,0.00031577342702075837,0.00031587728479644283
CacheDecompressed,1,64,NVIDIA A100-PCIE-40GB,5242880,0.0003172488410491496,0.00031719984451774507,0.00031715728167910125,0.0003172914038877934
CacheDecompressed,1,128,NVIDIA A100-PCIE-40GB,10485760,0.00032203451672103257,0.00032200665003620087,0.00032195373863214626,0.0003220874281250872
CacheDecompressed,1,256,NVIDIA A100-PCIE-40GB,20971520,0.0003320677470183,0.00033204690599814056,0.0003319993757177144,0.00033211527729872615
CacheDecompressed,1,512,NVIDIA A100-PCIE-40GB,41943040,0.0003474811167300989,0.0003474206530954689,0.00034739880356937647,0.0003475331980735064
CacheDecompressed,1,1024,NVIDIA A100-PCIE-40GB,83886080,0.0003794347470005353,0.00037941357702948154,0.0003793845670297742,0.00037947434198576954
CacheDecompressed,1,2048,NVIDIA A100-PCIE-40GB,167772160,0.00044390930095687507,0.0004438513619825244,0.0004438328599790111,0.0004439567724475637
CacheDecompressed,1,4096,NVIDIA A100-PCIE-40GB,335544320,0.0005711835705442354,0.0005711835705442354,0.0005711451888200827,0.0005712219522683881
CacheDecompressed,1,8192,NVIDIA A100-PCIE-40GB,671088640,0.000829661153973295,0.0008185897301882506,0.000816847539972514,0.0008201457094401121
CacheDecompressed,1,16384,NVIDIA A100-PCIE-40GB,1342177280,0.0013195839279796927,0.001310973553918302,0.0013106914068339393,0.0013120431156130508
CacheDecompressed,1,32768,NVIDIA A100-PCIE-40GB,2684354560,0.0023109014476649465,0.0023078955500386656,0.0023076873598620296,0.00231477040797472
CacheDecompressed,1,65536,NVIDIA A100-PCIE-40GB,5368709120,0.004348014886491,0.004347894629463553,0.004347720145015046,0.004348249499453232
CacheDecompressed,1,131072,NVIDIA A100-PCIE-40GB,10737418240,0.008391618705354632,0.008391618705354632,0.008391460423590616,0.008391776987118647
CacheCompressed,1,32,NVIDIA A100-PCIE-40GB,36864,0.00034938991403517624,0.00034928944101557136,0.0003492754634935409,0.00034945412806700916
CacheCompressed,1,64,NVIDIA A100-PCIE-40GB,73728,0.00039067028439603745,0.000394875843077898,0.00038641872303560375,0.0003970246250974014
CacheCompressed,1,128,NVIDIA A100-PCIE-40GB,147456,0.0003779054277110845,0.0003713671821169555,0.0003712163290474564,0.0003813254035776481
CacheCompressed,1,256,NVIDIA A100-PCIE-40GB,294912,0.0004022376236971468,0.000394219279056415,0.0003941156775690615,0.00040635039750486614
CacheCompressed,1,512,NVIDIA A100-PCIE-40GB,589824,0.0004435484199784696,0.0004435482369735837,0.0004435012374306098,0.0004435955110238865
CacheCompressed,1,1024,NVIDIA A100-PCIE-40GB,1179648,0.0005721819859463721,0.0005721819859463721,0.0005720608819974587,0.0005723030898952856
CacheCompressed,1,2048,NVIDIA A100-PCIE-40GB,2359296,0.0008384958394647887,0.0008303210698068142,0.0008268018352100626,0.000831543475505896
CacheCompressed,1,4096,NVIDIA A100-PCIE-40GB,4718592,0.0013470797665650024,0.0013458681455813348,0.001340847539831884,0.0013538703008089215
CacheCompressed,1,8192,NVIDIA A100-PCIE-40GB,9437184,0.0023752000415697694,0.002368245248217136,0.0023650301620364187,0.002378354158718139
CacheCompressed,1,16384,NVIDIA A100-PCIE-40GB,18874368,0.004449347586681446,0.004427087891381234,0.00442670596530661,0.004460859360406176
CacheCompressed,1,32768,NVIDIA A100-PCIE-40GB,37748736,0.00878827073223268,0.008598671050276608,0.008574159984709695,0.008636666910024359
CacheCompressed,1,65536,NVIDIA A100-PCIE-40GB,75497472,0.0170847200943778,0.01702743724454194,0.01693665410275571,0.01722285491414368
CacheCompressed,1,131072,NVIDIA A100-PCIE-40GB,150994944,0.033936131427374984,0.03392764700111002,0.03385285679250956,0.034015163849107924
